user_email,contact_email,contact_name,phone_number,closeness
shahargavriel5@gmail.com,ravit@gmail.com,רוית,0524444443,1
shahargavriel5@gmail.com,gavries@post.bgu.ac.il,שחר,0525222222,2
shahargavriel5@gmail.com,talia@gmail.com,טליה,0525223232,3
shahargavriel5@gmail.com,sapir@gmail.com,ספיר,0525232323,4
shahargavriel5@gmail.com,maor@gmail.com,מאור,0529210858,5
shahargavriel5@gmail.com,eli@gmail.com,אלי,0525223222,1
shahargavriel5@gmail.com,roei@gmail.com,רועי,0525223202,1
shahargavriel5@gmail.com,yuval@gmail.com,יובל,0525223203,5
talia@gmail.com,shahargavriel5@gmail.com,שחר,0525223201,5
talia@gmail.com,ofer@gmail.com,עופר,050555222,5
talia@gmail.com,eli@gmail.com,אלי,0525223222,2
talia@gmail.com,yael@gmail.com,יעל,0521111112,3
talia@gmail.com,yuval@gmail.com,יובל,0525223203,4
